MDVP:Fo (Hz),MDVP:Fhi (Hz),MDVP:Flo (Hz),MDVP:Jitter (%),MDVP:Jitter (Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer (dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,HNR,NHR,RPDE,DFA,Spread1,Spread2,PPE
126.45052304626672,136.7583732837325,121.1361250200063,0.5329065087343631,0.6738630676422009,3.74833986757454,2.661437497542324,2.0215892029266027,0.15523244,16.180349588394165,0.4971633,1.7619617,0.7387630606664455,0.8290955120477567,0.8853364,1.129514160991229,1.1087543634327346,0.0190192571209343,3.3760019410578748,11.39738910602654,0.6524573003926707
110.51809308762589,139.95494873052112,101.86293328704907,0.5051481922388573,0.5582801493289997,7.951567250235874,3.640437819859143,1.6748404479869992,0.16958736,15.41213035583496,0.5602281,1.9827679,0.6407364130044316,0.727867508161359,0.74029833,1.3508067739949896,0.7470134977612379,0.0226118276789203,9.050915214262924,81.91906621577608,0.7667203110842695
237.15375475166016,243.67571890687063,218.34797742632813,0.5299112442668006,1.2567044126299591,10.621997177497812,3.390370839213546,3.770113237889877,0.07328448,22.699759006500244,0.20993592,0.75145435,1.2875617399397392,1.3299888896254273,1.062529,0.9411508111788676,0.3828397085901857,0.0123412778721936,5.392995780686376,29.08440349050105,0.8386573578675022
258.4386639696086,310.57947715241323,142.4013181425779,1.6707689499182614,4.317912952187815,3.3673012030937963,1.6170119000996317,12.953738856563444,0.20498037,13.765754699707031,0.6400108,2.2884758,4.371232162878822,4.522893325570383,0.99145955,1.0086140191395527,0.519233450489737,0.1927854417485423,55.078943328238736,3033.6899981553347,0.6104768828288153
161.26703820150624,167.3995713945335,151.74291604528838,0.3414632848016018,0.5506677259451171,4.517719200236947,3.5776035596082147,1.6520031778353514,0.21079493,13.522796630859377,0.6351705,2.342567,0.6866412303505772,0.7614626516348144,0.9553794,1.046704557669921,0.6138515778894077,0.1617549330982405,2.4165632593340383,5.839777986363151,0.9006108996461043
174.0646286978037,181.49911338289388,155.28973857620664,0.96942775344465,1.68743081952689,4.372265440480545,1.4616126384178192,5.062292458580671,0.25625467,11.826564073562622,0.77466166,2.7947495,1.7607136775875096,1.9436854925310405,1.0366518,0.9646440125914408,2.009625963441421,0.0585906631768249,3.3357770612261985,11.127408602202893,0.7663346916249733
190.4664276805888,194.52593319765143,185.74145405661608,0.4351394445736203,0.8287945555085305,6.38702312423833,1.19780627416794,2.486383666525592,0.2769989,11.15043878555298,0.9903231,3.8050022,0.9620740343398436,1.1057934628361823,1.0986804,0.910182816520856,1.9735362153302445,0.0225769597393727,2.017241211152348,4.069262103971391,0.9063272843305824
158.36057887463954,164.52374695419388,129.83048415092145,0.6230112785226515,0.9866042671227636,7.686721283486403,2.3901868379944244,2.959812801368291,0.15736403,16.061891317367554,0.4944845,1.7743975,1.0482293830217946,1.143968292834777,0.6985411,1.4315549838624697,0.6170774618231845,0.0107150348096944,4.535560957856211,20.571313202429543,0.8614671090602888
142.3044547576348,146.5739952651369,130.58258449441863,0.5110610209070643,0.7272625992805998,11.473712277735888,4.553227727339614,2.181787797841799,0.15229978,16.346014738082886,0.50170296,1.8701577,0.8073620605947374,0.8795623759539167,0.7297641,1.370305821662429,0.880492725998376,0.0223038282661311,2.3131430809191897,5.350630912804321,0.8506401270744508
294.533802692785,305.2439076308059,258.16543117329905,0.596630581342311,1.7572787392555782,2.915518975396093,1.3035117785239878,5.271836217766735,0.25347215,11.921395063400269,0.79720145,2.7874415,1.8469975682257107,2.010750888627679,1.474939,0.6779941459755906,0.8791655992352261,0.0075191508485061,6.31816046145083,39.91915161664057,0.8817512788373705
159.9637282184843,166.43542081017674,155.28973857620664,0.5255881682117005,0.8407504289466747,3.7597334394756623,1.3871151612119514,2.5222512868400244,0.12080098,18.35859060287476,0.41646266,1.5426133,0.8897567443708418,0.9615514083821186,0.93232626,1.072585902463259,0.2533794780596756,0.013977532524587,2.082113081885188,4.335194885757434,0.9106675920964972
195.092460932142,207.2869319951664,186.81744335382345,0.7804844875429747,1.5226663939412066,7.593524664612766,2.97521574653725,4.56799918182362,0.15234028,16.343705654144287,0.5032518,1.8308921,1.5705979229370357,1.6750066719706485,0.6614205,1.5118974442620594,0.9758958438937704,0.0167931727792415,4.034990185599224,16.281145797882058,0.5302112926930708
188.3462656903899,224.74606153150225,176.33218594254132,0.7100547162028892,1.3373615423266374,8.174199563518545,5.348892322589239,4.012084626979912,0.10437756,19.627857208251957,0.33688918,1.2360774,1.377867618075565,1.4417391026441535,1.0500818,0.9523067186227292,0.5370351502337232,0.0341207579209416,7.140429169264862,50.98572872128848,0.7972403726211772
201.8242044498205,210.9102437433524,194.52593319765143,0.6566146391035835,1.3252072716718677,7.040642994547403,3.4075070679716504,3.9756218150156015,0.087725796,21.137454509735107,0.24510826,0.86045814,1.3557795253585794,1.4129330674773215,0.99643284,1.003579929353716,0.4486643132107402,0.0139715930393654,3.5706420485624237,12.74948463896206,0.8610704193099779
106.02988857528348,111.08231642149232,100.69293770851976,0.7528196637925257,0.7982138506920389,11.553851823454204,4.908309899721937,2.3946415520761164,0.16609311,15.59296727180481,0.5894397,2.226088,0.8606313042454968,0.9643069617302468,1.0420241,0.9596706696569736,0.9796603458067444,0.097962541842238,2.337195446105497,5.462482553296273,0.4805406235395679
